Top pages,Clicks,Impressions,CTR,Position
https://patristic.io/fathers/pope-anterus?via=pedagogical,0,2,0%,9
https://patristic.io/fathers/simon-the-zealot,0,2,0%,9
https://patristic.io/today?d=2026-10-12,0,2,0%,9
https://patristic.io/today?d=2027-04-30,0,2,0%,9
https://patristic.io/fathers/aldhelm?via=documented_only,0,2,0%,10
https://patristic.io/fathers/socrates-scholasticus?via=episcopal,0,2,0%,10
https://patristic.io/fathers/ephrem-the-syrian?via=pedagogical,0,2,0%,10.5
https://patristic.io/today?d=2025-01-19,0,2,0%,10.5
https://patristic.io/fathers/arius?via=pedagogical,0,2,0%,11
https://patristic.io/fathers/marius-victorinus,0,2,0%,11
https://patristic.io/fathers/mary-magdalene?via=episcopal,0,2,0%,11
https://patristic.io/fathers/sulpicius-severus?via=documented_only,0,2,0%,11
https://patristic.io/fathers/eusebius-of-nicomedia?via=episcopal,0,2,0%,11.5
https://patristic.io/fathers/pope-eutychian,0,2,0%,11.5
https://patristic.io/fathers/augustine-of-canterbury,0,2,0%,12
https://patristic.io/fathers/leander-of-seville?via=episcopal,0,2,0%,12
https://patristic.io/eras/post-nicene,0,2,0%,14
https://patristic.io/fathers/irenaeus-of-lyons?via=episcopal,0,2,0%,16
https://patristic.io/fathers/pope-soter?via=episcopal,0,2,0%,29.5
https://patristic.io/fathers/pseudo-dionysius-the-areopagite?via=documented_only,0,2,0%,33
https://patristic.io/today?d=2025-11-06,0,2,0%,40
https://patristic.io/fathers/mary-mother-of-jesus?via=documented_only,0,2,0%,42
https://patristic.io/fathers/sozomen?via=documented_only,0,2,0%,42
https://patristic.io/fathers/macarius-the-great?via=pedagogical,0,2,0%,44
https://patristic.io/fathers/eusebius-of-caesarea?via=documented_only,0,2,0%,44.5
https://patristic.io/fathers/pope-victor-i?via=documented_only,0,2,0%,53.5
https://patristic.io/fathers/pope-caius?via=pedagogical,0,2,0%,63
https://patristic.io/fathers/tertullian?via=pedagogical,0,2,0%,84
https://patristic.io/fathers/john-climacus?via=documented_only,0,1,0%,1
https://patristic.io/fathers/pope-leo-ii?via=pedagogical,0,1,0%,1
https://patristic.io/today?d=2025-01-01,0,1,0%,1
https://patristic.io/today?d=2025-01-27,0,1,0%,1
https://patristic.io/events/iconoclasm-onset,0,1,0%,2
https://patristic.io/fathers/dioscorus-of-alexandria,0,1,0%,2
https://patristic.io/fathers/eusebius-of-nicomedia?via=pedagogical,0,1,0%,2
https://patristic.io/fathers/luke-the-evangelist?via=documented_only,0,1,0%,2
https://patristic.io/fathers/mark-the-evangelist?via=pedagogical,0,1,0%,2
https://patristic.io/fathers/minucius-felix,0,1,0%,2
https://patristic.io/fathers/sisoes-the-great?via=documented_only,0,1,0%,2
https://patristic.io/fathers/sisoes-the-great?via=episcopal,0,1,0%,2
https://patristic.io/today?d=2026-07-23,0,1,0%,2
https://patristic.io/fathers/asclepiades-of-antioch,0,1,0%,3
https://patristic.io/fathers/cyril-of-jerusalem,0,1,0%,3
https://patristic.io/fathers/isaac-of-nineveh,0,1,0%,3
https://patristic.io/fathers/macarius-of-alexandria,0,1,0%,3
https://patristic.io/fathers/pope-marcellinus?via=pedagogical,0,1,0%,3
https://patristic.io/fathers/pope-soter,0,1,0%,3
https://patristic.io/fathers/pope-urban-i,0,1,0%,3
https://patristic.io/fathers/thomas-the-apostle,0,1,0%,3
https://patristic.io/fathers/titus-of-crete?via=episcopal,0,1,0%,3
https://patristic.io/fathers/chromatius-of-aquileia,0,1,0%,4
https://patristic.io/fathers/gregory-thaumaturgus-elder,0,1,0%,4
https://patristic.io/fathers/jacob-of-serugh?via=pedagogical,0,1,0%,4
https://patristic.io/fathers/leontius-of-byzantium?via=documented_only,0,1,0%,4
https://patristic.io/fathers/melito-of-sardis?via=documented_only,0,1,0%,4
https://patristic.io/fathers/pope-stephen-i?via=pedagogical,0,1,0%,4
https://patristic.io/fathers/romanos-the-melodist,0,1,0%,4
https://patristic.io/fathers/sozomen?via=pedagogical,0,1,0%,4
https://patristic.io/fathers/thomas-the-apostle?via=episcopal,0,1,0%,4
https://patristic.io/today?d=2025-11-23,0,1,0%,4
https://patristic.io/today?d=2026-06-25,0,1,0%,4
https://patristic.io/today?d=2026-11-13,0,1,0%,4
https://patristic.io/fathers/anastasius-of-sinai,0,1,0%,5
https://patristic.io/fathers/andrew-of-crete,0,1,0%,5
https://patristic.io/fathers/bartholomew-the-apostle,0,1,0%,5
https://patristic.io/fathers/braulio-of-saragossa?via=documented_only,0,1,0%,5
https://patristic.io/fathers/gregory-of-tours,0,1,0%,5
https://patristic.io/fathers/isaac-of-nineveh?via=episcopal,0,1,0%,5
https://patristic.io/fathers/pope-cornelius,0,1,0%,5
https://patristic.io/fathers/shenoute-of-atripe?via=documented_only,0,1,0%,5
https://patristic.io/today?d=2025-12-19,0,1,0%,5
https://patristic.io/today?d=2026-06-23,0,1,0%,5
https://patristic.io/fathers/amphilochius-of-iconium?via=episcopal,0,1,0%,6
https://patristic.io/fathers/clement-of-alexandria?via=episcopal,0,1,0%,6
https://patristic.io/fathers/cyril-of-jerusalem?via=episcopal,0,1,0%,6
https://patristic.io/fathers/heraclius,0,1,0%,6
https://patristic.io/today?d=2026-03-04,0,1,0%,6
https://patristic.io/events/three-chapters-controversy,0,1,0%,7
https://patristic.io/fathers/basilides?via=episcopal,0,1,0%,7
https://patristic.io/fathers/columba,0,1,0%,7
https://patristic.io/fathers/columbanus,0,1,0%,7
https://patristic.io/fathers/constantine-iv?via=episcopal,0,1,0%,7
https://patristic.io/fathers/hilary-of-poitiers?via=documented_only,0,1,0%,7
https://patristic.io/fathers/jacob-of-serugh?via=episcopal,0,1,0%,7
https://patristic.io/fathers/leander-of-seville?via=documented_only,0,1,0%,7
https://patristic.io/fathers/pamphilus-of-caesarea?via=pedagogical,0,1,0%,7
https://patristic.io/fathers/pope-caius?via=episcopal,0,1,0%,7
https://patristic.io/fathers/pope-celestine-i,0,1,0%,7
https://patristic.io/fathers/pope-martin-i?via=documented_only,0,1,0%,7
https://patristic.io/fathers/pope-soter?via=pedagogical,0,1,0%,7
